branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
6329,US - CA - San Diego - 7790 Convoy Court SAN DIEGO CA,7140 Opportunity Rd ,San Diego      ,CA,92111      ,US
7659,COLUMBIA SC - EESCO,2500 LEAPHEART      ,West Columbia  ,SC,29169-4630 ,CN
1794,RECO - INDIANAPOLIS,1560 Indiana Ave    ,Indianapolis   ,IN,46202      ,US
7541,PHOENIX VAN BUREN,10209 W Roosevelt St,Avondale       ,AZ,85323      ,US
1234,ORANGE CT,15 Executive Blvd   ,Orange         ,CT,06477      ,US
7410,HARRISBURG PA,221 S 10th St       ,Lemoyne        ,PA,17043      ,US
5798,WICHITA KS,1257 N Mosley St    ,Wichita        ,KS,67214      ,US
2380,WINDSOR ON,3250 Electricity Dr ,Windsor        ,ON,N8W 5J1    ,CN
1120,MANCHESTER UTILITY,12 Industrial Road  ,Milford        ,MA,01757      ,US
1837,CSC - CINCINNATI OH,6860 Ashfield Dr    ,Blue Ash       ,OH,45242      ,US
1913,C-B COLUMBUS OH,524 Suncrest Dr     ,Johnson City   ,TN,37615      ,US
3705,BIRMINGHAM AL,125 32nd St S       ,Birmingham     ,AL,35233      ,US
2125,SYDNEY NS,1120 Upper Prince St,Sydney         ,NS,B1P 5P6    ,CN
5696,SHREVEPORT LA,1535 Wilkinson St   ,Shreveport     ,LA,71103      ,US
6104,PORTLAND OR,2345 NW 31st Ave    ,Portland       ,OR,97210      ,US
7458,BOISE ID,1395 S Teare Ave    ,Meridian       ,ID,83642      ,US
7574,US - NY - Woodside,30-30 60th St       ,Woodside       ,NY,11377      ,US
7670,AURORA OH,1255 Danner Dr      ,Aurora         ,OH,44202      ,US
3905,C-B MILWAUKEE WI,N173 W21490 Northwes,Jackson        ,WI,53037      ,US
2680,PRINCE GEORGE BC,2223 Nicholson St N ,Prince George  ,BC,V2N 1V9    ,CN
5792,US - TX - Lubbock - 520 34th Street,520 34th St         ,Lubbock        ,TX,79404      ,US
2370,LONDON ON,554 First St        ,London         ,ON,N5V 1Z3    ,CN
7446,MARSHFIELD WI,1601 S Laemle Ave   ,Marshfield     ,WI,54449      ,US
7420,KNOXVILLE TN,112 Sherlake Rd     ,Knoxville      ,TN,37922      ,US
7430,TAMPA FL,501 Ave R SW        ,Winter Haven   ,FL,33880      ,US
7575,LAFAYETTE LA - STATEWIDE,200 Matrix Loop     ,Lafayette      ,LA,70507      ,US
7677,US - NV - Las Vegas - 2875 North Lamb Boulevard,2875 N Lamb Blvd    ,Las Vegas      ,NV,89115      ,US
7205,INTERNATIONAL SERVICE CENTER - ISC,7049 Brookhollow W D,Houston        ,TX,77040      ,US
7312,NATIONAL BRANCH - ATLANTA,2935 Shawnee Industr,Suwanee        ,GA,30024      ,US
7815,KVA - DENVER CO,11198 E 45th Ave    ,Denver         ,CO,80239      ,US
3715,HUNTSVILLE AL,6511 Fed Ex Way     ,Madison        ,AL,35756      ,US
2750,QUEBEC CITY PQ,255 Rue Fortin      ,Quebec         ,QC,G1M 3M2    ,CN
1561,US - MD - Gaithersburg BALTIMORE MD,602 E Diamond Ave   ,Gaithersburg   ,MD,20877      ,US
7306,"NATIONAL BRANCH - DALLAS, TX",9400 N Royal Ln     ,Irving         ,TX,75063      ,US
1879,CSC AUSTIN TX,4801 Freidrich Ln   ,Austin         ,TX,78744      ,US
7435,ARLINGTON TX,4030 Express St     ,Arlington      ,TX,76001      ,US
7654,VIRGINIA MN,5554 Enterprise Dr N,Virginia       ,MN,55792      ,US
1546,HARRISBURG PA,221A S 10th St      ,Lemoyne        ,PA,17043      ,US
1938,C-B BYHALIA DC OPERATIONS,7300 West Highway 17,Byhalia        ,MS,38611      ,US
1916,C-B PHILADELPHIA PA,12 Penns Trail      ,Newtown        ,PA,18940      ,US
1963,"CSC BOSTON, MA",15 Constitution Way ,Woburn         ,MA,01801      ,US
5830,CEDAR RAPIDS IA,725 33rd Ave SW     ,Cedar Rapids   ,IA,52404      ,US
2115,DARTMOUTH NS,54 Higney Ave       ,Dartmouth      ,NS,B3B 0N8    ,CN
7393,"DIST CTR ELIM - ATLANTA, GA",2935 Shawnee Industr,Suwanee        ,GA,30024      ,US
7623,KOKOMO IN,716 Belvedere Dr    ,Kokomo         ,IN,46901      ,US
5692,LONGVIEW TX,337 W Cotton St     ,Longview       ,TX,75601      ,US
2375,SARNIA ON,567 Vidal St S      ,Sarnia         ,ON,N7T 2V8    ,CN
1980,"CSC JACKSONVILLE, FL",6500 Bowden Rd      ,Jacksonville   ,FL,32216      ,US
6672,GILLETTE WY,2 Winland Ct        ,Gillette       ,WY,82718      ,US
7852,FARGO ND,2650 7th Ave N      ,Fargo          ,ND,58102      ,US
2765,SEPT. ILES PQ,253 Jolliet Ave     ,Sept-Iles      ,QC,G4R 2A8    ,CN
7897,GS_DALLESPORT WA,100 E DOW Road      ,Dallesport     ,WA,98617      ,US
7645,JACKSON MI - EESCO,1610 E High St      ,Jackson        ,MI,49203      ,US
6110,KENNEWICK WA,6949 W Deschutes Ave,Kennewick      ,WA,99336      ,US
1975,"CSC SEATTLE, WA",951 Monster Rd      ,Renton         ,WA,98057      ,US
7866,KANSAS CITY UTILITY,22614 W 167th St    ,Olathe         ,KS,66062      ,US
7662,"CHARLESTON, SC",4567 Piggly Wiggly R,North Charlesto,SC,29405      ,US
7684,AUGUSTA GA - ACE,1703 Marvin Griffin ,Augusta        ,GA,30906      ,US
3426,CLEVELAND OH,4741 Hinckley Indust,Cleveland      ,OH,44109      ,US
2610,BURNABY BC,6000 Lougheed Hwy   ,Burnaby        ,BC,V5B 4V6    ,CN
2510,EDMONTON AB,18207 111th Ave     ,Edmonton       ,AB,T5S 2P2    ,CN
7611,US - ME - Portland,327 Marginal Way    ,Portland       ,ME,04101      ,US
3735,NASHVILLE TN,1400 Fort Negley Blv,Nashville      ,TN,37203      ,US
1341,US - NY - Watertown,465 Newell St       ,Watertown      ,NY,13601      ,US
7676,JACKSONVILLE FL - ACE,5875 Highway Ave    ,Jacksonville   ,FL,32254      ,US
1062,CHARLOTTE NC - DUKE,5521 Lakeview Rd    ,Charlotte      ,NC,28269      ,US
5454,IRON MOUNTAIN MI,630 E Blvd          ,Iron Mountain  ,MI,49802      ,US
1964,"CSC ATLANTA, GA",700 Sigman Rd NE    ,Conyers        ,GA,30013      ,US
2589,STONE EAGLE - SASKATOON (WESNET),3911 Millar Ave     ,Saskatoon      ,SK,S7P 0C1    ,CN
1064,REDMOND OR,2345 NW 31st Ave    ,Portland       ,OR,97210-2033 ,CN
1765,ROANOKE VA,1255 Trapper Cir NW ,Roanoke        ,VA,24012      ,US
7305,DIST CTR - SPARKS NV,1161 E Glendale Ave ,Sparks         ,NV,89431      ,US
7884,RALEIGH NC,334 Atkinson St     ,Clayton        ,NC,27520      ,US
7539,"US - AZ - Phoenix - 3425 E. Van Buren Street PHOENIX, AZ",3425 E Van Buren    ,Phoenix        ,AZ,85008      ,US
1983,US - OH - Cleveland - 17909 Cleveland Parkway,17909 Cleveland Pkwy,Cleveland      ,OH,44135      ,US
2625,SURREY BC,201- 12844 Anvil Way,Surrey         ,BC,V3W 8E7    ,CN
7559,"PASCAGOULA, MS",2835 Andrews St     ,Pascagoula     ,MS,39567      ,US
7758,WESCO EXPRESS BRANCH,780 Commonwealth Dr ,Warrendale     ,PA,15086      ,US
5794,HOBBS NM,2110 W Bender       ,Hobbs          ,NM,88240      ,US
7397,DIST CTR ELIM - CHICAGO,200 E Lies Rd       ,Carol Stream   ,IL,60188      ,US
5444,SPRINGDALE AR,1210 E.S.I. Dr      ,Springdale     ,AR,72764      ,US
1844,CSC - OKLAHOMA CITY OK,500 N Pennsylvania A,Oklahoma City  ,OK,73107      ,US
5565,CLUTE TX,447 E Plantation Dr ,Clute          ,TX,77531      ,US
7395,DIST CTR ELIM - SPARKS NV,1161 E Glendale Ave ,Sparks         ,NV,89431      ,US
