branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
6709,FELLOWS CA,26407 Hwy 33        ,Fellows        ,CA,93224      ,US
2570,RED DEER AB,7743 50th Ave       ,Red Deer       ,AB,T4P 1M7    ,CN
1935,C-B MCALLEN,601 E Cedar         ,Mcallen        ,TX,78501      ,US
5114,MILWAUKEE WI,5475 S Westridge Ct ,New Berlin     ,WI,53151      ,US
5845,MEMPHIS TN,7300 W Highway 178  ,Byhalia        ,MS,38611      ,US
2550,CALGARY AB,11195 42 St SE      ,Calgary        ,AB,T2C 0J9    ,CN
7641,US - WI - Green Bay,2740 S Ashland Ave  ,Green Bay      ,WI,54304      ,US
7639,CHAMPAIGN IL,909 N Country Fair D,Champaign      ,IL,61821      ,US
6217,US - CA - Fresno,3712 W Gettysburg Av,Fresno         ,CA,93722      ,US
3375,US - PA - Warrendale PITTSBURGH PA,185 Thorn Hill Rd   ,Warrendale     ,PA,15086      ,US
3365,MURRYSVILLE PA,5201 Triangle Lane  ,Export         ,PA,15632      ,US
1831,"CSC KANSAS CITY, KS",2301 E Truman Rd    ,Kansas City    ,MO,64127      ,US
3229,US - MI - Midland,2400 Schuette Rd    ,Midland        ,MI,48642      ,US
3640,GREENVILLE SC,706A Garlington Rd  ,Greenville     ,SC,29615      ,US
1764,NORFOLK VA,1270 Bolton St      ,Norfolk        ,VA,23504      ,US
6503,US - HI - Hilo,10 Kukila St        ,Hilo           ,HI,96720      ,US
3842,TOLA OEM VIRTUAL,31478 Industrial Rd ,Livonia        ,MI,48150      ,US
6642,BUTTE MT,949 S Montana St    ,Butte          ,MT,59701      ,US
2520,FT MCMURRAY AB,385 Mackenzie Blvd  ,Fort McMurray  ,AB,T9H 5E2    ,CN
2690,FORT ST. JOHN BC,11425 Alaska Rd     ,Fort St John   ,BC,V1J 6N2    ,CN
7697,UTILITY - TULSA OK,13047 E 59th St     ,Tulsa          ,OK,74134      ,US
3226,DETROIT CONSTRUCTION,33162 Sterling Ponds,Sterling Height,MI,48312      ,US
1447,US - PA - Norristown,2505 Blvd of the Gen,Norristown     ,PA,19403      ,US
7606,US - IL - NW INDIANA CONSTRUCTION,200 E Lies Rd       ,Carol Stream   ,IL,60188      ,US
7889,GS_AMARILLO TX,1403 S Cherry Ln    ,White Settlemen,TX,76108      ,US
