Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
2630,Energy Solut,5,0,NJ,RyanW,182758,59484,4760,14676,250,195131,486249,
57,Lumio Hx Inc.,1,8064,WA,Genki,33540,,,,,33670,100800,
2634,Bethlehem 23,5,0,PA,RyanW,28988,,,,,26648,126761,
82,American Design & Build Ltd,1,9106,MD,RyanW,28480,,,,,32500,95500,
354,Renu Energy Solutions,1,6058,NC,RyanW,13490,,,2200,,15617,25970,1
1307,Rdx Power Llc,1,8756,AZ,Genki,11900,,,,,21190,49140,
44,Sun-Tec Solar Energy,1,8018,FL,RyanW,11744,,,,,11779,35960,
66,A.m.sun Solar Inc,1,7605,CA,Genki,11720,,,,,13330,500,
10,Granite State Solar,1,224,NH,RyanW,11620,,60,,,11620,35640,
2516,Empower Solar*,4,0,NY,RyanW,11600,,,,,21600,23800,
37,Greenlight Solar - Tx,1,236,TX,Genki,10550,,,,,9150,15820,
612,603 Solar Llc,1,224,NH,RyanW,10252,,,,,10309,13060,
2132,Revolution Energy Systems,2,0,IL,Guy,9740,,,21900,,10200,,
153,Empire Solar Solutions,1,1670,NY,RyanW,9270,,,,,7190,26340,
31,"Ensolar Usa, Llc",1,8618,FL,RyanW,9125,,,,,8459,32800,
750,American Solar Repair,1,9106,MD,RyanW,8900,7896,,,,9640,15248,
63,Sundog Solar,1,4422,ME,RyanW,8884,,,,,11000,25000,
2277,Adt Solar,2,0,LA,RyanW,8780,,,20500,,10100,,
1105,Freedom Solar Power,1,1132,FL,RyanW,7993,,,,,8820,18751,
34,Freedom Solar Tx,1,236,TX,Genki,7458,,,,,9760,12640,
1745,Freedom Solar Power,1,236,TX,Genki,7401,,,,,7495,7425,
1114,Revolution Energy Systems,1,8064,WA,Genki,7340,,,,,8905,15710,
279,Quest Solar -Quest Home Improv,1,1670,NY,RyanW,7338,,,,,7438,23500,
2133,Strawberry Solar,2,0,MI,Guy,6140,,,16800,,5100,,
94,Solarlogix,1,4422,ME,RyanW,6096,,,,,7976,22500,
2137,The Green Panel,2,0,MI,Guy,6020,,,5200,,2200,,
18,Sunergy Solar Llc,1,8018,FL,RyanW,6005,,,,,9809,28878,
1580,Green Light Solar,1,3273,TX,Genki,5990,,,,,5990,16010,
988,"Positivesynergyllc,Dba Havasu ",1,4090,AZ,Genki,5960,,500,,,1800,400,
