Year_Qtr,Ohm_ID,Cust_ID,Cust_Key,Rep,State,Category,Revenue
2023_Q1,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,2577.15
2023_Q2,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,1186.9
2023_Q3,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,1120.5
2023_Q4,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,1510.6
2024_Q1,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,760.3
2024_Q2,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,887.6
2024_Q3,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,857.85
2024_Q4,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,685.52
2025_Q1,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,360.8
2025_Q2,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,1262.8
2025_Q3,115,1288,Xero Solar - CA - 1,Genki,CA,MINI,856.9
2024_Q4,43956,2956,Worcester County Electrical -,RyanW,MA,MINI,90.2
2025_Q2,,3278,"Woodridge, Il (7628) - IL - 7",Guy,IL,MINI,42.22
2022_Q4,27482,2287,Wolf River Electric - MN - 2,Guy,MN,MINI,194.4
2022_Q4,27482,1206,Wolf River Electric - MN - 1,Guy,MN,MINI,539.5
2023_Q1,27482,1206,Wolf River Electric - MN - 1,Guy,MN,MINI,149.4
2023_Q2,27482,1206,Wolf River Electric - MN - 1,Guy,MN,MINI,622.5
2023_Q1,11055,1568,Wired Up Electrical Service -,RyanW,FL,MINI,207.5
2023_Q2,11055,1568,Wired Up Electrical Service -,RyanW,FL,MINI,41.5
2023_Q2,42609,1762,Wired Goat Llc - WA - 1,Genki,WA,MINI,581
2024_Q2,42609,1762,Wired Goat Llc - WA - 1,Genki,WA,MINI,306.68
2025_Q3,42609,1762,Wired Goat Llc - WA - 1,Genki,WA,MINI,622.38
2025_Q4,42609,1762,Wired Goat Llc - WA - 1,Genki,WA,MINI,81.18
2022_Q3,28991,1031,Wire Nutz Electrical Services,Genki,WA,MINI,332
2023_Q4,13333,2080,Windmar Home - FL - 1,RyanW,FL,MINI,83
2024_Q2,34154,2636,Windemuller Electric - MI - 1,Guy,MI,MINI,166
2022_Q2,32248,699,Williamson Roofing/Renergy - T,Genki,TX,MINI,290.5
2022_Q1,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,10624
2022_Q2,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,415
2022_Q3,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,33034
2025_Q2,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,9020
2025_Q3,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,2164.8
2025_Q4,11070,519,William May Electric - FL - 1,RyanW,FL,MINI,9020
2022_Q1,N/A,2620,Wilkes-Barre - PA - 5,RyanW,PA,MINI,124.5
2025_Q1,,3227,Wighton's Plumbing Heating & A,Genki,CA,MINI,216.48
2022_Q2,11695,2268,Whitman Construction - NJ - 2,RyanW,NJ,MINI,680.4
2023_Q2,36662,1571,White Label Solar Llc - MA - 1,RyanW,MA,MINI,1307.25
2023_Q3,36662,1571,White Label Solar Llc - MA - 1,RyanW,MA,MINI,249
2024_Q4,36662,3084,White Label Solar Llc - CT - 1,RyanW,CT,MINI,554.73
2022_Q3,32248,959,Westco Construction - TX - 1,Genki,TX,MINI,249
2025_Q1,,3228,West Electric - CT - 1,RyanW,CT,MINI,90.2
2025_Q2,,3228,West Electric - CT - 1,RyanW,CT,MINI,360.8
2025_Q3,,3228,West Electric - CT - 1,RyanW,CT,MINI,180.4
2023_Q4,10062,2060,West Coast Solar Inc - FL - 1,RyanW,FL,MINI,581
2022_Q2,34344,759,West Bay Energy - FL - 1,RyanW,FL,MINI,249
2022_Q3,34344,759,West Bay Energy - FL - 1,RyanW,FL,MINI,83
2023_Q1,34344,759,West Bay Energy - FL - 1,RyanW,FL,MINI,99.6
2023_Q4,34344,759,West Bay Energy - FL - 1,RyanW,FL,MINI,249
2022_Q3,6988,900,Wells Solar - Cod - TX - 1,Genki,TX,MINI,1099.75
2022_Q4,6988,900,Wells Solar - Cod - TX - 1,Genki,TX,MINI,539.5
2023_Q2,6988,900,Wells Solar - Cod - TX - 1,Genki,TX,MINI,83
2022_Q1,6988,331,Wells Solar & Electrical Svs L,Genki,TX,MINI,332
2022_Q2,6988,331,Wells Solar & Electrical Svs L,Genki,TX,MINI,1660
2022_Q3,6988,984,Wells Solar & Electrical - TX,Genki,TX,MINI,332
2022_Q4,6988,984,Wells Solar & Electrical - TX,Genki,TX,MINI,830
2022_Q3,39376,1057,Wegner Roofing & Solar - MT -,Genki,MT,MINI,265.6
2023_Q4,16579,2372,Wattsun Energy Llc - FL - 1,RyanW,FL,MINI,49.8
2025_Q2,,3384,Watts Up Sun - FL - 1,RyanW,FL,MINI,451
2025_Q3,,3384,Watts Up Sun - FL - 1,RyanW,FL,MINI,360.8
2023_Q2,N/A,1603,Watts Up Engineering - WI - 1,Guy,WI,MINI,166
2023_Q4,N/A,1603,Watts Up Engineering - WI - 1,Guy,WI,MINI,4.15
2024_Q2,N/A,2637,Wardall Harrington Solar Cod -,Genki,WA,MINI,180.4
2022_Q2,13427,819,Waldo Renewable Eletric - CT -,RyanW,CT,MINI,8.3
2022_Q4,N/A,1203,Vyvue - OK - 1,Guy,OK,MINI,1879.95
2023_Q2,N/A,1203,Vyvue - OK - 1,Guy,OK,MINI,83
2022_Q2,7999,593,Voltaic Solaire - PA - 1,RyanW,PA,MINI,24.9
2022_Q1,7999,2261,Voltaic Solaire - NY - 2,RyanW,NY,MINI,291.6
2022_Q1,7999,512,Voltaic Solaire - NY - 1,RyanW,NY,MINI,69.95
2022_Q2,7999,512,Voltaic Solaire - NY - 1,RyanW,NY,MINI,153.55
2022_Q3,7999,512,Voltaic Solaire - NY - 1,RyanW,NY,MINI,62.25
2024_Q1,7999,2405,Voltaic Solaire - NJ - 2,RyanW,NJ,MINI,97.2
2024_Q3,7999,2405,Voltaic Solaire - NJ - 2,RyanW,NJ,MINI,0
2022_Q1,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,323.7
2022_Q2,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,153.55
2022_Q3,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,435.75
2022_Q4,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,655.7
2023_Q1,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,207.5
2023_Q2,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,452.35
2023_Q3,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,581
2023_Q4,7999,22,Voltaic Solaire - NJ - 1,RyanW,NJ,MINI,83
2022_Q2,7999,599,Voltaic Solaire - CT - 1,RyanW,CT,MINI,20.75
2022_Q2,37465,826,Volt Solar Solutions - MD - 1,RyanW,MD,MINI,83
2022_Q3,37465,826,Volt Solar Solutions - MD - 1,RyanW,MD,MINI,622.5
2022_Q4,37465,826,Volt Solar Solutions - MD - 1,RyanW,MD,MINI,415
2022_Q3,37465,690,Volt Solar Solutions - FL - 1,RyanW,FL,MINI,1162
2022_Q1,42086,528,Volt Seed - MA - 1,RyanW,MA,MINI,249
2024_Q2,N/A,2638,Volt Llc - IN - 1,Guy,IN,MINI,586.3
