Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
Southface Solar Electric,AZ,,77.3683614615385,6.82096330769231
Citrus Solar,AZ,,41.3711438333333,3.85613366666667
"Powur, PBC",AZ,TRUE,186.452911153846,18.6945926923077
Sundial Solar (AZ),AZ,,92.9064076666667,8.472539
Arrowhead Electric LLC,AZ,,206.8431256,23.7515714
Windy City Electric Company,AZ,,23.2260402,1.8103542
Sunrun Inc.,AZ,TRUE,3538.76474625,473.926911916667
Storm Pro Energy LLC,AZ,TRUE,20.429016,2.6265685
Reco Solar&Electric,AZ,,26.3966876666667,3.81271833333333
Jit Solar LLC,AZ,,25.3983453076923,1.77920923076923
Smart Solar of Arizona,AZ,,50.2705662,4.28369
Advanced Energy Systems LLC,AZ,,28.769543,2.34328391666667
Uep Solar,AZ,,18.293042,2.1466338
Solar Solution AZ LLC,AZ,TRUE,222.17350025,33.6742586666667
"Elan Electric, Inc.",AZ,,17.4358385555556,1.67510677777778
Max Electrical and Solar LLC,AZ,,23.7334653333333,2.34379466666667
Envision Solar Inc,AZ,,25.525973,1.33802666666667
Goodco Solutions LLC,AZ,,17.3332774,1.6427362
Advanced Electric & Solar (AZ),AZ,,32.2224499230769,4.92754615384616
Stephen Griffin Construction,AZ,,30.055961,2.946666
Skywells Energy,AZ,,52.716451625,4.647418125
Arizona Solar Doctor Llc,AZ,,29.018834,4.5923445
Blueprint Home Services,AZ,TRUE,13.98416,2.008521
Energyaid,AZ,,18.0440836666667,2.662834
Intelligent Design Air Conditioning And Heating Inc,AZ,,40.5909256,6.2332185
Az Independence Solar,AZ,,17.2226135,1.52028716666667
Premier Solar Solutions,AZ,TRUE,126.365560636364,13.5410404545455
Streamline Solar Power Systems LLC,AZ,TRUE,193.8011526,22.27391
All Star Electric,AZ,,21.7142918,1.6099122
Solar Electric Freedom LLC,AZ,,76.7767214,6.6008111
Static Sun Electric and Solar LLC,AZ,,13.9100953333333,1.00787066666667
Mesh Bro Enterprises,AZ,,13.7781786666667,1.724433
Under The Sun Solar,AZ,,13.7537266666667,1.005883
Canary Solar and Security LLC.,AZ,TRUE,60.2762532,5.1597762
Alternative Power Solutions,AZ,,26.6044213333333,1.78788977777778
