Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
2630,Energy Solut,5,0,NJ,RyanW,136616,9986,5180,5945,,10420,355633,
2634,Bethlehem 23,5,0,PA,RyanW,18831,,,,,571,76614,
1745,Freedom Solar Power,1,236,TX,Genki,14721,,,,,4986,15654,
82,American Design & Build Ltd,1,9106,MD,RyanW,14160,,,,,8050,47900,
2626,Linden 02,5,0,NJ,RyanW,8940,544,,,,30,19500,
2397,Integratesun,1,3273,TX,Genki,8695,,,,,53,15648,
2219,Fusion Solar Energy Llc (Sunno,3,0,NJ,RyanW,8680,,,,,,,
63,Sundog Solar,1,4422,ME,RyanW,8540,,,,,530,27400,
1105,Freedom Solar Power,1,1132,FL,RyanW,6688,,,,,7073,19983,
94,Solarlogix,1,4422,ME,RyanW,6273,,,352,,262,19360,
2137,The Green Panel,2,0,MI,Guy,5900,,,4500,,2000,,
2685,All Energy Solar,1,4664,MN,Guy,5700,,,,,2300,25100,
66,A.m.sun Solar Inc,1,7605,CA,Genki,5400,,,,,,500,
1929,Prosolar Group Llc,1,5621,FL,RyanW,4920,,,,,,2320,
1999,Power Energy Solutions,3,0,NJ,RyanW,4880,,,,,300,,
153,Empire Solar Solutions,1,1670,NY,RyanW,4740,,,,,,14170,
2752,4205222 Momentum Solar Llc,6,0,FL,RyanW,4720,,,,,,9000,
1430,Mad Energy Nw Llc,1,8064,WA,Genki,4280,,29,430,,3140,6700,
1163,"Meraki Installers, Llc",1,5621,FL,RyanW,4186,,,,,600,12000,
51,"Ailey Solar Electric, Inc.",1,1045,IL,Guy,3980,,,,,1000,17200,
1307,Rdx Power Llc,1,8756,AZ,Genki,3976,,,,,140,22016,
883,Bright Planet Solar,1,4950,IL,Guy,3955,,,,,,11078,
1525,Diamond Solar,1,5621,FL,RyanW,3800,,,,,2840,13700,
1846,Tge Solar,1,1154,OH,Guy,3574,,,,,2123,244,
1616,Infinity Solar/Tml,1,5971,OR,Genki,3360,,,150,,,6760,
1580,Green Light Solar,1,3273,TX,Genki,3220,,,,,320,5130,
1786,Sbs Solar Inc,1,4639,MT,Genki,3200,,220,,,2840,8500,
2642,Stoneway Electric Supply Co.,2,0,WA,Genki,3200,,,7000,,,,
190,Cod Sales,1,236,TX,Genki,3129,,,,,20,7710,
343,Lunex Power Inc,1,8018,FL,RyanW,3090,,,,,898,2584,
2061,American Design & Build Ltd,1,9106,PA,RyanW,3040,,,,,1400,6000,
2017,Superior Solar Design Llc,3,0,PA,RyanW,2900,,,,,,,
1800,Nitro Dba Revolt,1,5944,WV,RyanW,2690,,,,,2606,,
1077,Phase Out Electric,1,224,MA,RyanW,2600,,,,,40,7820,
246,Bright Home Solar Dba Florida ,1,8018,FL,RyanW,2423,,,,,100,2100,
2392,603 Solar,1,4991,NH,RyanW,2305,,,,,1290,1300,
2962,Solar Energy Group Hub,1,9106,MD,RyanW,2217,,,,,,7800,
835,Phase Out Electric,1,4984,CT,RyanW,2180,,,,,,6600,
1949,Tml International,1,8064,WA,Genki,2150,,,,,60,3560,
2516,Empower Solar*,4,0,NY,RyanW,2040,,,,,,7800,
76,"American Energy Care, Inc.",1,120,NY,RyanW,2000,,,,,,7310,
2207,Mann Solar,2,0,KY,Guy,1960,,,2000,,,,
2029,Smuckers Enterprises,3,0,PA,RyanW,1900,,,,,,,
2140,Skyline Solar - Nj/Ma/Ct,2,0,NJ,RyanW,1820,140,,,,,,
2664,Invaleon Technologies Corp.,1,4422,MA,RyanW,1800,,,200,,,500,
