Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Dba Solar Kings,TX,152,1987,1,Genki,2428.1,2875.9,629.3,313.6,,,,,,,,,,,,,6246.9
Vector Energy Dba Fusion Power,AZ,175,8756,1,Genki,2580,,,860,1290,1075,,,,,,,,,,,5805
Sunpro Dba Marc Jones Construc,IL,174,3584,1,Guy,70.8,,,,,,,,,,,,,,,,70.8
Sunblue Energy,NY,173,1670,1,RyanW,493,487.2,,1032.2,2383,1554.2,1168.6,103.1,380.2,861.4,2930,348,,,,,11740.9
Solcius,AZ,172,8756,1,Genki,2750.2,1094,72,1804,172,1660,,656,,,,,,,,,8208.2
Solar Source,FL,171,5621,1,RyanW,3340.8,2353.6,2595.2,,1858.6,1166,1602,6656,1400,,790.8,,180.4,360.8,1512.4,,23816.6
Smart Energy Solar,TX,170,1987,1,Genki,43,384,219.2,673.2,,18,,,,,,,,,,,1337.4
Shinnova Solar,MO,169,3584,1,Guy,709,266.4,,,,,,,,,,,,,,,975.4
Rising Sun,OK,168,3584,1,Guy,623,,,,,,,,,,,,,,,,623
Rayah Power Intergration Corp,MA,167,224,1,RyanW,962.4,232.84,,,,,,,,,,,,,,,1195.24
Powur Pbc,FL,166,5621,1,RyanW,631.4,,1070.7,344,,550.4,1616.8,1556.6,765.4,283.8,344,-68.8,,150.5,,304.44,7549.24
Palmetto Solar,NC,165,6058,1,RyanW,508.52,,,,,,,,,,,,,,,,508.52
High Noon Solar,CO,164,2685,1,Genki,360.8,76.4,130.1,121.8,316.46,225.9,16.6,113.5,62.72,,,,0,,,,1424.28
Flemingto 12,NJ,2629,0,5,RyanW,166,,,436.1,1588.65,1495.2,2170.9,1385.5,90.2,,,,338.25,,,,7670.8
"Cod-Soltech Energy, Llc",TX,163,1987,1,Genki,1492.81,180.71,301,414,581.45,,,,360.8,,266.4,,,,,,3597.17
Cod-Equisolar,AZ,162,8756,1,Genki,1168.99,,,,,41.5,,,,,,,,,,,1210.49
