Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
211,Solgen Power Llc,1,5971,WA,Genki,334640,,,6144,,10,19300,
2630,Energy Solut,5,0,NJ,RyanW,190049,158825,,8050,207,201074,801585,
18,Sunergy Solar Llc,1,8018,FL,RyanW,92033,,,,,96807,194279,
57,Lumio Hx Inc.,1,8064,WA,Genki,79420,,,,,89442,224326,
2262,Empower Ces Llc,2,0,NY,RyanW,33200,,,113000,,35800,,
31,"Ensolar Usa, Llc",1,8618,FL,RyanW,33150,,,,,35030,128572,
57,Lumio Hx Inc.,1,8187,WA,Genki,32085,,,,,33985,98928,
33,Expert Inc.,1,8618,FL,RyanW,29166,,,,,29140,104866,
82,American Design & Build Ltd,1,9106,MD,RyanW,27960,,,,,28900,73900,
246,Bright Home Solar Dba Florida ,1,8018,FL,RyanW,27583,,,,,27213,131030,
44,Sun-Tec Solar Energy,1,8018,FL,RyanW,27349,,,,,27319,87850,
2634,Bethlehem 23,5,0,PA,RyanW,26391,,,,,30108,119056,
2259,Sun Badger Solar Llc,2,0,IL,Guy,24840,,,29900,,32400,,
17,Sunergy,1,5888,FL,RyanW,21520,,,,,22510,54360,
79,Meraki Installers Llc,1,5621,FL,RyanW,17940,,,,,4700,56500,
131,Streamline Energy Llc,1,236,TX,Genki,14880,,,,,17253,37664,
330,Sunergy,1,237,TX,Genki,14710,,,,,14652,93800,
153,Empire Solar Solutions,1,1670,NY,RyanW,13840,,,,,9020,31780,
54,Erus Energy,1,239,TX,Genki,13232,,,,,13017,21650,
24,Affordable Energy Center,1,8018,FL,RyanW,13047,,,,,14020,37784,
66,A.m.sun Solar Inc,1,7605,CA,Genki,12856,,,,,4572,1000,
2452,Vision Solar Llc,4,0,NJ,RyanW,12800,,,,,3410,4500,
251,Sunrgy Llc,1,236,TX,Genki,12700,,,,,14300,27000,
92,Solar Sme,1,236,TX,Genki,12547,,,,,12685,50188,
10,Granite State Solar,1,224,NH,RyanW,12227,,,,,12795,48250,
57,Lumio Hx Inc.,1,589,WA,Genki,12160,,,,,12229,26742,
544,Solgen Power Llc,1,5971,OR,Genki,12000,,,,,,,
1088,Solgen Power Llc,1,5971,KY,Guy,12000,,,,,,,
99,Vision Solar,1,5621,FL,RyanW,11840,,,,,5800,20000,
8,Encor Solar,1,3584,KS,Guy,11736,,,,,11806,62000,
212,Sun Pro,1,1154,OH,Guy,10580,,,,,1000,26500,
2280,Premier Aesthetix Installation,2,0,TX,Genki,9320,,,9700,,8000,,
102,Meraki Solutions,1,8018,FL,RyanW,8800,,,,,15500,16100,
2277,Adt Solar,2,0,LA,RyanW,8660,,,22400,,6900,,
62,Sun Valley Renewables,1,3584,AR,Guy,8232,,,,,9372,37300,
99,Vision Solar,1,4560,FL,RyanW,8160,,,,,7500,16500,
135,V3 Electric Inc.,1,6435,CA,Genki,8050,,,,,13471,34800,
106,Solcius,1,1987,TX,Genki,7795,,,,,7035,23100,
69,Erus Builders,1,8756,AZ,Genki,7750,,,,,9743,49502,
519,William May Electric,1,8018,FL,RyanW,7660,,,,,13100,16000,
2621,Valley Strea,5,0,NY,RyanW,7500,,,,,450,30000,
1114,Revolution Energy Systems,1,8064,WA,Genki,7040,,,,,6500,14120,
1176,"Lumio Hx, Inc.",1,4450,OR,Genki,6920,,,,,7160,19260,
2453,Vision Solar Llc,4,0,MA,RyanW,6840,,,,,3600,8700,
72,Invaleon Technologies Corp,1,224,MA,RyanW,6609,,,,,6609,1700,
48,Sunvena Solar Llc,1,5621,FL,RyanW,6560,30,,,,200,6800,
32,Erus Builders,1,1987,TX,Genki,6502,,,,,7975,19900,
63,Sundog Solar,1,4422,ME,RyanW,6406,,,,,7240,17500,
201,Synergy Solar,1,5621,FL,RyanW,6366,,,,,7248,4500,
276,Big Dog Energy,1,5951,ID,Genki,6360,,,,,8200,12300,
102,Meraki Solutions,1,5888,FL,RyanW,6160,,,,,7900,21600,
34,Freedom Solar Tx,1,236,TX,Genki,5922,,,,,15560,21680,30
65,Trismart Solar Llc,1,236,TX,Genki,5920,,,,,7000,73400,
68,Encor Solar,1,3584,OK,Guy,5915,,,,,5925,31900,
94,Solarlogix,1,4422,ME,RyanW,5496,,,,,6600,16800,
1,Atlantic Key Energy,1,8018,FL,RyanW,5340,,,,,6000,24660,
416,All Energy,1,4664,MN,Guy,5182,,,,,7837,16888,
2137,The Green Panel,2,0,MI,Guy,5160,,,2000,,,,
272,Solcius Llc,1,148,NM,Genki,5120,,,,,11000,12200,
2455,Vision Solar Llc,4,0,CT,RyanW,5040,,,,,4000,3300,
37,Greenlight Solar - Tx,1,236,TX,Genki,4990,,,,,4930,11560,
406,Sun Up Solar,1,224,NH,RyanW,4980,,,,,5960,15030,
720,Obsidian Solar,1,3273,TX,Genki,4768,,,,,140,5060,
530,Axiom 360 Llc,1,7605,CA,Genki,4749,,,,,4769,8760,
129,Southern Solar,1,3273,TX,Genki,4709,,,,,,5880,
440,Elec3phase Electrical Contract,1,8618,FL,RyanW,4560,,,,,4624,19000,
490,Untd Energy,1,239,TX,Genki,4500,,,,,4500,18000,
42,Solar Maintenance Pros,1,2576,CA,Genki,4476,,,,,,600,
837,Fluent Solar,1,6058,NC,RyanW,4426,,,,,4526,18040,
6,Ecovole,1,3584,KS,Guy,4365,,,,,4353,22100,
583,Freedom Solar Texas,1,8018,FL,RyanW,4320,,,,,3000,16700,
2133,Strawberry Solar,2,0,MI,Guy,4200,,,7800,,4300,,
357,Solar Sme,1,236,PA,RyanW,4168,,,,,4168,16732,
99,Vision Solar,1,8018,FL,RyanW,4160,,,,,3300,8830,
35,Green Hybrid Energy Solutions,1,1670,NY,RyanW,4100,,,,,4460,12582,
918,Rethink Electric Llc,1,4950,IL,Guy,4075,,,500,,,,
83,Cod Sales,1,8618,FL,RyanW,4021,,,,,3574,14744,
1053,"Lumio Hx, Inc",1,311,CA,Genki,4020,,,,,,3040,
107,"Solcius, Llc",1,6435,CA,Genki,3880,,,,,240,14300,
133,Sunlight Enterprises Inc,1,5621,FL,RyanW,3571,,,,,3561,4500,
26,American Energy And Constructi,1,5621,FL,RyanW,3531,,,,,3711,6700,
475,"Mayan Enterprises Of El Paso, ",1,1987,TX,Genki,3518,,,,,4210,1200,
93,Solar Specialists Inc,1,8018,FL,RyanW,3500,,,,,3590,14600,
14,Mn Solar And More,1,4664,MN,Guy,3498,,,,,4028,9834,
4,"Cod-Southswest Energy, Llc",1,1987,TX,Genki,3480,,,,,3610,17900,
2501,Invaleon Technologies Corp,4,0,MA,RyanW,3480,,,,,3000,4300,
190,Cod Sales,1,239,TX,Genki,3457,,,,,151,5584,
83,Cod Sales,1,4560,FL,RyanW,3404,8,,1420,,1849,7785,
129,Southern Solar,1,237,TX,Genki,3398,,,,,3298,10280,7
