Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Affordable Energy Center,FL,24,5888,1,RyanW,71775.21,5822.2,1054.32,152.92,,,,,,,,,,,,,78804.65
**Cod** Solar Side Up,CO,23,1875,1,Genki,341.25,599.6,837.3,674.15,,,,,,,,,,,,,2452.3
Trismart Solar Llc,TX,65,237,1,Genki,5520,20169,29435,3526,,,,,,,,,,,,,58650
Sunnova,NJ,64,5887,1,RyanW,72848.52,1591.14,15472.82,33101.99,,,,,,,,,,,,,123014.47
Sundog Solar,ME,63,4422,1,RyanW,7413.3,5325,11268,12710,,,,,,,,,,,,,36716.3
Sun Valley Renewables,AR,62,4187,1,Guy,23537,20291.8,9622.32,3642.23,,,,,,,,,,,,,57093.35
Solarise Solar Energy,CO,61,6026,1,Genki,746.54,,45.4,,,,,,,,,,,,,,791.94
Solar Sme,VA,60,236,1,RyanW,4603.97,4233.88,5993.26,2504.46,,,,,,,,,,,,,17335.57
Pm&M Electric Dba Titan Solar,FL,59,8018,1,RyanW,24083,6275.2,4945,,,,,,,,,,,,,,35303.2
Photon Bros,CA,58,7605,1,Genki,632.15,1127.5,2563.06,3558.8,,,,,,,,,,,,,7881.51
Lumio Hx Inc.,WA,57,8064,1,Genki,96302.86,230888.18,194621.9,211379,,,,,,,,,,,,,733191.94
Frontline Home Solutions,TX,56,4441,1,Genki,479.8,,,,,,,,,,,,,,,,479.8
Freedom Solar (Tx),CO,55,1127,1,Genki,12828.68,965.4,2734.3,1601.25,,,,,,,,,,,,,18129.63
Erus Energy,TX,54,3273,1,Genki,27145.32,21783.91,21473.89,3277.95,,,,,,,,,,,,,73681.07
Ecology Solar,CO,53,1875,1,Genki,2401.61,3278.6,764.55,,,,,,,,,,,,,,6444.76
All American Solar Llc,FL,52,5621,1,RyanW,4175.94,2606.3,3734.94,3621.61,,,,,,,,,,,,,14138.79
"Ailey Solar Electric, Inc.",IL,51,1045,1,Guy,4796.35,4284,5349.85,4216.1,,,,,,,,,,,,,18646.3
8m Solar,NC,50,6058,1,RyanW,1145.1,249.2,635.46,1817.67,,,,,,,,,,,,,3847.43
"Untd Holdings, Llc",UT,75,6692,1,Genki,608,,313.2,,,,,,,,,,,,,,921.2
"Solar Works Energy, Llc.",TX,74,1987,1,Genki,577.2,126,83,3295.64,,,,,,,,,,,,,4081.84
"Solar Works Energy, Llc",NM,73,148,1,Genki,3077.75,2164,3426,3162,,,,,,,,,,,,,11829.75
Invaleon Technologies Corp,MA,72,224,1,RyanW,19277.6,4059,3039.74,4161.25,,,,,,,,,,,,,30537.59
Green Hybrid Energy Solutions,CT,71,1670,1,RyanW,2453.2,298,439.6,43,,,,,,,,,,,,,3233.8
Fastrac Energy Services,TX,70,3273,1,Genki,23331.09,24629.41,22808.1,10363.86,,,,,,,,,,,,,81132.46
Erus Builders,AZ,69,8756,1,Genki,9144.4,12382.62,19354.97,16727.05,,,,,,,,,,,,,57609.04
Encor Solar,OK,68,3584,1,Guy,5719.2,9054.7,20317.59,5305.76,,,,,,,,,,,,,40397.25
"Ac/Dc Solar, Llc",FL,67,8018,1,RyanW,2760.17,2468.3,1465.1,1214.85,,,,,,,,,,,,,7908.42
A.m.sun Solar Inc,CA,66,7605,1,Genki,13612,11601.64,15039.6,15175.08,,,,,,,,,,,,,55428.32
Texas Solar Outfitters,TX,81,3273,1,Genki,1079,1062.4,2943.75,5458.7,,,,,,,,,,,,,10543.85
Solarwise Energy Solutions,FL,80,8018,1,RyanW,1282,721.6,232,2702.4,,,,,,,,,,,,,4938
Ocean,NJ,2623,0,5,RyanW,623.6,706.6,249,166,,,,,,,,,,,,,1745.2
Meraki Installers Llc,FL,79,5621,1,RyanW,42284,32085,21889,4180,,,,,,,,,,,,,100438
Ecovole,MO,78,6640,1,Guy,7840.76,6052.44,3420.82,505.74,,,,,,,,,,,,,17819.76
Apollo Energy,CO,77,1875,1,Genki,172,915,480.2,3243.2,,,,,,,,,,,,,4810.4
"American Energy Care, Inc.",NY,76,120,1,RyanW,1917.84,5050.1,674.4,846.4,,,,,,,,,,,,,8488.74
Vision Solar,FL,99,5621,1,RyanW,26495,57609.9,26746,16681,,,,,,,,,,,,,127531.9
Tempo Electric,NV,98,4090,1,Genki,1645.15,927.2,1093.2,1278.3,,,,,,,,,,,,,4943.85
Sunpro,IL,97,4950,1,Guy,1727,490,,,,,,,,,,,,,,,2217
Sunflower Solar,TX,96,1987,1,Genki,336.68,,,,,,,,,,,,,,,,336.68
Summit Solar Solutions Llc,MA,2470,0,4,RyanW,36,559,623,415,,,,,,,,,,,,,1633
Solarmax,FL,95,8618,1,RyanW,2687.6,5064.82,10664.9,2411.13,,,,,,,,,,,,,20828.45
