Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,18.49,15.48,26.66,47.73,,,,,,,,,,,,,108.36
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,2145.7,562.44,717.24,2596.77,,,,,,,,,,,,,6022.15
Sunwatt Energy,TX,20,1987,1,Genki,629.95,731,1032,1763,,,,,,,,,,,,,4155.95
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,152.64,230,,,,,,,,,,,,,,,382.64
Sunlight Solar Energy*,MA,2466,0,4,RyanW,,,,,,,,,,,,,,,,,0
Sunergy Solar Llc,FL,18,5888,1,RyanW,17389.2,31673.37,48760.28,9200.28,,,,,,,,,,,,,107023.13
Sunergy,FL,17,5888,1,RyanW,5624.4,12710.8,5039.6,,,,,,,,,,,,,,23374.8
Skyline Solar Llc,NJ,2478,0,4,RyanW,258,,,,,,,,,,,,,,,,258
Rising Sun,MO,16,3584,1,Guy,86,,,,,,,,,,,,,,,,86
Pro Star Energy Llc*,MA,2487,0,4,RyanW,,,,,,,,,,,,,,,,,0
Photon Brothers,CO,15,1875,1,Genki,2433.8,7628.2,5938.3,7064.9,,,,,,,,,,,,,23065.2
Mn Solar And More,MN,14,4664,1,Guy,172,430,344,3282.62,,,,,,,,,,,,,4228.62
"Lumio, Inc",UT,13,5888,1,Genki,129,,,,,,,,,,,,,,,,129
Klick Solar Llc,CO,12,1127,1,Genki,275.2,,,12.9,,,,,,,,,,,,,288.1
Home Pro Solutions,TX,11,1987,1,Genki,473,516,1849,817,,,,,,,,,,,,,3655
Granite State Solar,NH,10,4991,1,RyanW,4807.4,4489.2,5430.9,6020,,,,,,,,,,,,,20747.5
Energy Solut,NJ,2630,0,5,RyanW,72843.19,74417.26,102537.67,114146.29,,,,,,,,,,,,,363944.41
Energy One,KS,9,3584,1,Guy,688,,344,559,,,,,,,,,,,,,1591
Encor Solar,KS,8,3584,1,Guy,4214,2623,8557,11266,,,,,,,,,,,,,26660
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,1642.6,490.2,17733.2,3483,,,,,,,,,,,,,23349
Ecovole,KS,6,3584,1,Guy,3311,2537,2795,860,,,,,,,,,,,,,9503
Cost Adjustments,SC,5,1132,1,RyanW,204.25,,,,,,,,,,,,,,,,204.25
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,1419,2752,2580,946,,,,,,,,,,,,,7697
Cod - Core Energy Group,FL,3,8018,1,RyanW,309.6,,473,645,,,,,,,,,,,,,1427.6
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,2098.4,2468.2,258,1036.3,,,,,,,,,,,,,5860.9
Atlantic Key Energy,FL,1,8018,1,RyanW,9116,2936.9,559,430,,,,,,,,,,,,,13041.9
770 Electric Corp - Cod,NY,2534,0,4,RyanW,86,172,,,,,,,,,,,,,,,258
Urban Solar,FL,49,4560,1,RyanW,614.9,292.4,275.2,1204.86,,,,,,,,,,,,,2387.36
Sunvena Solar Llc,FL,48,5621,1,RyanW,344,1505,387,688,,,,,,,,,,,,,2924
Sunnova Energy Corp. - Direct ,FL,47,8018,1,RyanW,369.8,258,817,1118,,,,,,,,,,,,,2562.8
Sunnova Energy Corp - Direct P,CT,46,4984,1,RyanW,447.2,,,,,,,,,,,,,,,,447.2
Sunlight Solar,MA,45,224,1,RyanW,516,129,,,,,,,,,,,,,,,645
Sun-Tec Solar Energy,FL,44,8018,1,RyanW,10178.1,8531.2,10294.2,8772,,,,,,,,,,,,,37775.5
Sun Harvest Llc Dba Sun Harves,FL,43,8618,1,RyanW,449.78,258,215,189.2,,,,,,,,,,,,,1111.98
Solar Maintenance Pros,CA,42,2576,1,Genki,215,43,,,,,,,,,,,,,,,258
Palmetto Solar,SC,40,1132,1,RyanW,40.85,,,,,,,,,,,,,,,,40.85
Palmetto Solar,NM,41,148,1,Genki,,,,,,,,,,,,,,,,,0
Nu Look Solar,MD,39,9106,1,RyanW,645,430,602,430,,,,,,,,,,,,,2107
Jax Contracting Dba Sunwire,FL,38,5621,1,RyanW,258,129,,,,,,,,,,,,,,,387
Greenlight Solar - Tx,TX,37,236,1,Genki,3702.3,872.9,731,43,,,,,,,,,,,,,5349.2
Green Solutions Of Fl,FL,36,5621,1,RyanW,129,,,172,,,,,,,,,,,,,301
Green Hybrid Energy Solutions,NY,35,1670,1,RyanW,1363.96,793.1,1763,1522.2,,,,,,,,,,,,,5442.26
Freedom Solar Tx,TX,34,236,1,Genki,1565.2,430,4515,2881,,,,,,,,,,,,,9391.2
