Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,,,,,3769.39,2168.12,624.73,87.38,,,,,,,,,6649.62
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,,,,,6788.29,1577.14,1728.49,4965.46,,,,,,,,,15059.38
Sunwatt Energy,TX,20,1987,1,Genki,,,,,1495.6,295.56,954.01,465.5,,,,,,,,,3210.67
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,,,,,,,,,,,,,,,,,0
Sunlight Solar Energy*,MA,2466,0,4,RyanW,,,,,,-498,498,,,,,,,,,,0
Sunergy Solar Llc,FL,18,5888,1,RyanW,,,,,26233.78,27059.54,5253.7,2202.6,,,,,,,,,60749.62
Sunergy,FL,17,5888,1,RyanW,,,,,477,180.4,,,,,,,,,,,657.4
Skyline Solar Llc,NJ,2478,0,4,RyanW,,,,,,,,,,,,,,,,,0
Rising Sun,MO,16,3584,1,Guy,,,,,,,,,,,,,,,,,0
Pro Star Energy Llc*,MA,2487,0,4,RyanW,,,,,332,83,1743,,,,,,,,,,2158
Photon Brothers,CO,15,1875,1,Genki,,,,,17238.8,14971.53,7815.75,16716.55,,,,,,,,,56742.63
Mn Solar And More,MN,14,4664,1,Guy,,,,,11566,11041.95,3464,113.8,,,,,,,,,26185.75
"Lumio, Inc",UT,13,5888,1,Genki,,,,,,,,,,,,,,,,,0
Klick Solar Llc,CO,12,1127,1,Genki,,,,,39.6,111.1,12.05,,,,,,,,,,162.75
Home Pro Solutions,TX,11,1987,1,Genki,,,,,1720,2150,2150,1290,,,,,,,,,7310
Granite State Solar,NH,10,4991,1,RyanW,,,,,32428.6,34946.2,418.2,123.2,,,,,,,,,67916.2
Energy Solut,NJ,2630,0,5,RyanW,,,,,637578.4,352634.73,273902.36,304550.96,,,,,,,,,1568666.45
Energy One,KS,9,3584,1,Guy,,,,,,,,,,,,,,,,,0
Encor Solar,KS,8,3584,1,Guy,,,,,882.75,444.7,,,,,,,,,,,1327.45
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,,,,,6342.5,2480,215,,,,,,,,,,9037.5
Ecovole,KS,6,3584,1,Guy,,,,,465.15,,,,,,,,,,,,465.15
Cost Adjustments,SC,5,1132,1,RyanW,,,,,,,,,,,,,,,,,0
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,,,,,,,,,,,,,,,,,0
Cod - Core Energy Group,FL,3,8018,1,RyanW,,,,,129,172,,,,,,,,,,,301
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,,,,,240.1,,,,,,,,,,,,240.1
Atlantic Key Energy,FL,1,8018,1,RyanW,,,,,1233.2,214.8,,,,,,,,,,,1448
770 Electric Corp - Cod,NY,2534,0,4,RyanW,,,,,72,620,245,,,,,,,,,,937
Urban Solar,FL,49,4560,1,RyanW,,,,,925.83,569.75,860.86,455.8,,,,,,,,,2812.24
