Year_Qtr,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Customer,State,Cust_ID,PC #
2022_Q3,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2022_Q4,,,,202,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2023_Q1,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2023_Q2,,,,,,-498,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2023_Q3,,,,,,,498,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2023_Q4,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2024_Q1,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2024_Q2,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2024_Q3,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2024_Q4,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2025_Q1,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2025_Q2,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2025_Q3,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2025_Q4,,,,,,,,,,,,,,,,,Sunlight Solar Energy*,MA,2466,0
2022_Q1,86014.66,,,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2022_Q2,,179007.87,,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2022_Q3,,,252446.03,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2022_Q4,,,,35884.75,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2023_Q1,,,,,26233.78,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2023_Q2,,,,,,27059.54,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2023_Q3,,,,,,,5253.7,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2023_Q4,,,,,,,,2202.6,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2024_Q1,,,,,,,,,1321.1,,,,,,,,Sunergy Solar Llc,FL,18,5888
2024_Q2,,,,,,,,,,459.7,,,,,,,Sunergy Solar Llc,FL,18,5888
2024_Q3,,,,,,,,,,,666,,,,,,Sunergy Solar Llc,FL,18,5888
2024_Q4,,,,,,,,,,,,554.73,,,,,Sunergy Solar Llc,FL,18,5888
2025_Q1,,,,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2025_Q2,,,,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2025_Q3,,,,,,,,,,,,,,,451,,Sunergy Solar Llc,FL,18,5888
2025_Q4,,,,,,,,,,,,,,,,,Sunergy Solar Llc,FL,18,5888
2022_Q1,20507.4,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2022_Q2,,61703.8,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2022_Q3,,,37922.2,,,,,,,,,,,,,,Sunergy,FL,17,3584
2022_Q4,,,,653,,,,,,,,,,,,,Sunergy,FL,17,3584
2023_Q1,,,,,477,,,,,,,,,,,,Sunergy,FL,17,3584
2023_Q2,,,,,,180.4,,,,,,,,,,,Sunergy,FL,17,3584
2023_Q3,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2023_Q4,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2024_Q1,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2024_Q2,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2024_Q3,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2024_Q4,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2025_Q1,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2025_Q2,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2025_Q3,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2025_Q4,,,,,,,,,,,,,,,,,Sunergy,FL,17,3584
2022_Q1,2298.9,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2022_Q2,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2022_Q3,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2022_Q4,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2023_Q1,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2023_Q2,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2023_Q3,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2023_Q4,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2024_Q1,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2024_Q2,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2024_Q3,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2024_Q4,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2025_Q1,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2025_Q2,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2025_Q3,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2025_Q4,,,,,,,,,,,,,,,,,Skyline Solar Llc,NJ,2478,1875
2022_Q1,266.4,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2022_Q2,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2022_Q3,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2022_Q4,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2023_Q1,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2023_Q2,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2023_Q3,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2023_Q4,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2024_Q1,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2024_Q2,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2024_Q3,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2024_Q4,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2025_Q1,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2025_Q2,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2025_Q3,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2025_Q4,,,,,,,,,,,,,,,,,Rising Sun,MO,16,4664
2022_Q1,830,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2022_Q2,,996,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2022_Q3,,,1494,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2022_Q4,,,,1411,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2023_Q1,,,,,332,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2023_Q2,,,,,,83,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2023_Q3,,,,,,,1743,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2023_Q4,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2024_Q1,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2024_Q2,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2024_Q3,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
