Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
2831,Elite Solar Group Llc,1,8018,FL,RyanW,100,,,,,,,
3168,Sabal Construction & Roofing L,1,8018,FL,RyanW,100,,,,,,300,
3332,21128 Empower Ces Llc Dba Empo,6,0,NJ,RyanW,100,,,,,,,
2133,Strawberry Solar,2,0,MI,Guy,100,,,,,,,
3339,Sunheat Solar Inc,3,0,IL,Guy,100,,,,,,,
1949,Tml International,1,8064,WA,Genki,100,,,,,,,
3406,Geib's Electric Llc,3,0,PA,RyanW,100,,,,,,,
3490,Ff Hitchcock,1,4984,CT,RyanW,100,,,,,,,
3531,J.r. Alarms Inc,4,0,MA,RyanW,100,,,,,,100,
18,Sunergy Solar Llc,1,5888,FL,RyanW,100,,,,,,,
3582,"Cape Fear Solar Systems, Llc",3,0,NC,RyanW,100,,,,,,,
3583,"Calgary, Ab (2550)",8,2550,BC,Guy,100,,,,,,500,
3495,Captain Power,3,0,MD,RyanW,100,,,,,800,,
1689,Smart Energy - Shop Acct,1,4391,TX,Genki,96,,,,,,,
714,Valley Solar Llc,1,224,MA,RyanW,95,,280,,,,,
2672,Green Alternatives Inc,1,3293,IN,Guy,92,,,,,,200,
73,"Solar Works Energy, Llc",1,148,NM,Genki,92,,,,,200,6700,
23,**Cod** Solar Side Up,1,1875,CO,Genki,90,,,,,,3150,
477,Cod Sales,1,7492,CA,Genki,90,,,,,,,
3165,Solar Forward Electric Inc,1,1024,CA,Genki,90,,,,,,,
3255,Greenscape,1,9106,MD,RyanW,90,,,,,,,
647,Cod Sales,1,4950,IL,Guy,90,,,,,,,
3388,Team Sunshine Construction Llc,1,224,CT,RyanW,90,,,,,,450,
3551,"American Home Contractors, Llc",1,9106,MD,RyanW,90,,,,,,300,
989,Cod Sales,1,1154,OH,Guy,90,,,,,,1080,
1468,Dba Omicron Solutions,1,1987,TX,Genki,86,,,,,,800,
1979,Central Homes Solar,1,5621,FL,RyanW,85,,,,,,200,
3247,"Kitchener, On (2365)",8,2365,ON,Guy,85,,,,,,,
3427,Manahawki-76,5,0,NJ,RyanW,85,,,,,,60,
3534,I.n.o Electrical,1,224,MA,RyanW,85,,,,,,100,
3044,"Sunrgy, Llc",2,0,TX,Genki,80,,,,,,,
2808,Solar Medix Llc,3,0,NJ,RyanW,80,,,,,,,
3093,Solar Blocks Llc,3,0,NY,RyanW,80,,,,,,,
2994,Sunwise Energy Llc,1,5944,PA,RyanW,80,,,,,,,
3159,Superior Solar Design Llc,2,0,PA,RyanW,80,,,,,,,
3071,Clean Bright Solutions,1,236,TX,Genki,80,,,,,,,
300,Cod Sales,1,756,ID,Genki,80,,,,,,320,
31,"Ensolar Usa, Llc",1,8018,FL,RyanW,80,,,,,,100,
3243,Ocean-76,5,0,NJ,RyanW,80,,,,,,258,
3253,Hall Electrcial Systems Inc.,1,8018,FL,RyanW,80,,,,,,240,
3269,Aurora Roofing & Solar - Cod,4,0,ME,RyanW,80,,,,,100,300,
2201,Midwest Solars Llc,1,4664,MN,Guy,80,,,,,,,
1602,Cod Accounts,1,1024,CA,Genki,80,,,,,,460,
3234,Solar King Of Kitsap,1,8064,WA,Genki,80,,,,,80,320,
135,V3 Electric Inc.,1,6435,CA,Genki,80,,,,,,,
2844,81919 Smuckers Sales & Service,6,0,PA,RyanW,80,,,,,,,
2658,Old Glory Solar,1,224,MA,RyanW,80,,,,,,600,
1893,Pv Maine,1,4422,ME,RyanW,80,,,,,,160,
3299,Portland - Ges,1,4422,ME,RyanW,80,,,,,,320,
3173,"Phoenix, Az (7539)",7,7539,AZ,Genki,80,,,,,,,
3360,Kokosing,1,1154,OH,Guy,80,,,,,,,
2523,Devlin Contracting & Maint Inc,4,0,MA,RyanW,80,,,,,,,
3411,Beyond Solar Services Llc,1,5621,FL,RyanW,80,,,,,,,
2544,Sme,1,9106,MD,RyanW,80,,,,,,,
1105,Freedom Solar Power,1,5621,FL,RyanW,80,,,,,,1200,
3233,Soligo,1,4560,FL,RyanW,80,,,,,,500,
2676,Dynamic Solar Design,1,236,TX,Genki,80,,,,,,,
3471,Sunergize Solar Llc,1,5621,FL,RyanW,80,,,,,,,
3469,Sunpol,1,4984,CT,RyanW,80,,,,,,,
3523,Ocean-77,5,0,NJ,RyanW,80,,,,,,,
2830,Freedom Forever,1,4560,FL,RyanW,80,,,,,,,
3554,4992624 Powersol Usa,6,0,FL,RyanW,80,,,,,,300,
3528,Maine Energy Experts,4,0,ME,RyanW,80,,,,,,300,
3568,Mugrid Analytics,3,0,CO,Genki,80,,,,,,,
1714,The Solar Exchange,1,8756,AZ,Genki,80,,,,,,,
3320,Cosmo Solaris,1,8460,MD,RyanW,79,,,,,,330,
36,Green Solutions Of Fl,1,5621,FL,RyanW,78,,,,,40,,
2629,Flemingto 12,5,0,NJ,RyanW,75,,,,,,,
3194,Detach Reset Soloar Llc,1,5621,FL,RyanW,75,,,,,,200,
728,Samba Energy,1,8460,NY,RyanW,74,,,,,,160,
1878,Vital Energy,1,7953,CA,Genki,72,,,,,40,,
2557,Homeowner/ 1 Time Sale,1,237,TX,Genki,70,,,,,,,
2089,Al & Jon Services,1,224,MA,RyanW,70,,,,,,300,
872,Cod Sales,1,4422,ME,RyanW,70,,,66,,20,210,
3285,Sunspark Solutions,1,5621,FL,RyanW,70,,,,,,,
1918,Fastrac,1,3273,TX,Genki,70,,,,,,40,
2999,Solarx - Cod,1,8018,FL,RyanW,70,,,,,,,
127,Freedom Solar Energy,1,8018,FL,RyanW,68,,,,,,260,
424,Prepaid Sales,1,8756,AZ,Genki,68,,,,,,700,
11,Home Pro Solutions,1,1987,TX,Genki,66,,,,,,3496,
369,Accord Power,1,5887,NY,RyanW,65,,,,,,,
3005,Simplicity Power Llc,1,237,TX,Genki,65,,,,,,65,
257,Jolma Electric,1,4407,WI,Guy,64,,,,,,,
1578,Cod-Global Solar Group,1,1987,TX,Genki,64,,,,,,200,
3281,Transform Solar,1,8018,FL,RyanW,64,,,,,,,
3404,Green Power Energy,1,8460,PA,RyanW,64,,,,,,134,
1100,Solar Power New England,1,4422,ME,RyanW,64,,,,,,76,
382,Mountain Power Solutions,1,2685,CO,Genki,63,,,,,,,
3252,Hauppauge-88,5,0,NY,RyanW,62,,,,,,86,
3283,Sunwatt Solar Llc,1,224,RI,RyanW,62,,,70,,,185,
2958,Tri Solar,1,8801,WA,Genki,61,1583,,360,,,2200,
3029,Baystate Renewables,1,224,MA,RyanW,60,,40,,,,200,
227,Go Green Industries Inc,1,224,MA,RyanW,60,,20,,,,,
3129,Solar Nova Llc,3,0,NJ,RyanW,60,,,,,,,
2997,Sunnova,1,7133,CA,Genki,60,,,,,,,
293,Solar Energy Systems & Service,1,8018,FL,RyanW,60,,,,,,160,
3120,4992583 Aaa Solar Services,6,0,NJ,RyanW,60,,,,,,,
3158,The Integrity Energy Group Llc,1,5888,FL,RyanW,60,,,,,,,
3236,Rivertown Solar Llc,3,0,NY,RyanW,60,,,,,,,
3231,Sun Up Enterprises,1,236,TX,Genki,60,,,,,,200,
205,Empower Energy Solutions,1,4984,MA,RyanW,60,,,,,,40,
3296,Priority Solar,1,4984,CT,RyanW,60,,,,,,,
3378,Agora Supply Llc,1,4664,MN,Guy,60,,,,,,,
591,Florida Solar Services Llc,1,5621,FL,RyanW,60,,,,,,,
2594,Inti Solar,1,120,NY,RyanW,60,,,,,,,
3341,Solar Restore,1,8756,AZ,Genki,60,,,,,,100,
3398,Ocean-90,5,0,NJ,RyanW,60,,,,,,,
3408,Ecosmart,1,4984,CT,RyanW,60,,,,,,160,
562,Cod Sales,1,8187,WA,Genki,60,,,,,,300,
1131,Cape Fear Solar Systems,1,6058,NC,RyanW,60,,,,,,,
3444,Cosmo Solaris,3,0,TX,Genki,60,,,,,,,
3021,Gosolar Inc,1,4950,IL,Guy,60,,,,,,,
3470,"Sunergy Solar, Llc",1,6408,VA,RyanW,60,,,,,,100,
3485,Jcj Electric,1,1024,CA,Genki,60,,,,,,20,
469,Green Brilliance,1,9106,MD,RyanW,60,,,,,,,
1420,"Boss Energy, Llc.",1,1132,SC,RyanW,60,,,,,10,140,
2750,6058 Harness The Sun Llc,6,0,CT,RyanW,60,,,,,,,
3511,Standard Energy Solutions Llc*,4,0,VA,RyanW,60,,,,,,,
2464,Sunwind Llc,4,0,MA,RyanW,60,,,,,,200,
3563,Solar Chief,1,1132,SC,RyanW,60,,,,,,,
2376,Grid Alternatives,1,6435,CA,Genki,60,,,,,,200,
2631,Cranbury,5,0,NJ,RyanW,59,,,,,,,
2641,Sunstone Solar,1,8187,WA,Genki,56,,,,,,216,
111,Cod Sales,1,5887,NJ,RyanW,55,74,25,,4,103,500,
2665,Integratesun,1,3273,NV,Genki,55,,,,,55,110,
3185,Grekkotek Llc,1,5621,FL,RyanW,55,,,,,,,
1614,Astrawatt Solar,1,5364,OK,Guy,55,,,,,,,
3574,Cosmo Solaris,1,8460,NJ,RyanW,55,,,,,,110,
1347,Ameco Solar Llc,1,7492,CA,Genki,54,,,,,,,
3564,Solar Air & Energy,1,1132,SC,RyanW,54,,,,,,,
2603,Commonwealth Solar,1,1154,KY,Guy,52,,,,,,,
2659,New York State Solar Farm,1,1670,NY,RyanW,52,,,,,,,
3507,Tropic Solar & More,1,236,TX,Genki,52,,,,,,188,
73,"Solar Works Energy, Llc",1,4029,NM,Genki,50,,,,,,,
248,Infenergy Llc,1,8018,FL,RyanW,50,,,,,,,
2671,"Harvest Solar Of Texas, Llc",1,3273,TX,Genki,50,,,,,,200,
3238,Power Solar Innovation Llc,1,5621,FL,RyanW,50,,,,,,,
3313,Greenhill,1,1024,CA,Genki,50,,,,,,,
3402,J & J Solar,1,5621,FL,RyanW,50,,,,,,,
1437,Nuwatt Energy,1,224,RI,RyanW,50,,,,,,,
3227,Wighton's Plumbing Heating & A,1,7605,CA,Genki,48,,,,,,200,
3347,Pv Sky Usa,1,1024,CA,Genki,48,,,,,,,
3448,Cod  Henderson Electric,1,7605,CA,Genki,46,,,,,,,
3532,Integrate Sun,1,9106,DE,RyanW,45,,,,,,90,
3498,Badass Energy,1,6435,CA,Genki,44,,,,,,,
1930,Soleil Energy Corp,1,9106,MD,RyanW,42,,,,,,140,
3555,4991578 Greentech United Us Ho,6,0,NY,RyanW,40,24,,,,,,
3130,Solar Installers Near Me,1,9106,MD,RyanW,40,,,,,,,
3132,New England Clean Energy*,4,0,MA,RyanW,40,,,,,,100,
298,Solar States Llc,1,5887,NJ,RyanW,40,,,,,,,
3110,Dna Electrical Concept Llc,1,1987,TX,Genki,40,,,,,,200,
3189,Flemingto-71,5,0,NJ,RyanW,40,,,,,,,
2472,Solect Energy Development,4,0,MA,RyanW,40,,,,,,,
247,Go Solar Power Llc,1,4560,FL,RyanW,40,,,,,,,
3161,Sunnova Energy Corporation,1,148,NM,Genki,40,,,,,,,
3155,Vikta Energy,1,236,TX,Genki,40,,,,,,,
3200,Cod-Global Solar Group,1,1987,NM,Genki,40,,,,,,,
3226,Zenergy Solar (Sunnova),3,0,DE,RyanW,40,,,,,,,
3273,12494 Rbs Solar,6,0,CA,Genki,40,,,,,,200,
3137,Guardian Business Consulting L,1,8018,FL,RyanW,40,,,,,,,
3331,4203033 Sunpath Solar Llc,6,0,FL,RyanW,40,,,,,,200,
2371,Lockeenergy Solutions,1,4560,FL,RyanW,40,,,,,,40,
730,"Fresh Coast Solar, Llc",1,4950,IL,Guy,40,,,,,,100,
3330,4203729 Sunrgy Llc Dba Sunrgy ,6,0,NJ,RyanW,40,,,,,,,
522,Eastern Ct Solar,1,4984,CT,RyanW,40,,,,,,,
3335,Vara Usa,3,0,PA,RyanW,40,,,,,,,
2882,Great Sky Solar,4,0,MA,RyanW,40,,,,,,,
1694,Mack Solar,1,5887,NJ,RyanW,40,,,,,,,
2856,Solar Fix Texas,1,236,TX,Genki,40,,,,,,,
154,Florida Power Services,1,8018,FL,RyanW,40,,,,,,,
2470,Summit Solar Solutions Llc,4,0,MA,RyanW,40,,,,,,,
1175,Green Power Energy,1,4984,CT,RyanW,40,,,,,,160,
3423,Plug It In Solar Inc,1,1024,CA,Genki,40,,,,,,,
3426,Northeast Custom Solar,1,4984,CT,RyanW,40,,,,,,,
2536,The Masters Hand,1,236,TX,Genki,40,,,,,,100,
74,"Solar Works Energy, Llc.",1,1987,TX,Genki,40,,,,,,,
3494,Cooberln-90,5,0,NJ,RyanW,40,,,,,,,
3480,Murphys Solar Llc,3,0,NJ,RyanW,40,,,,,,,
3473,Solion Energy,1,7133,CA,Genki,40,,,,,,60,
3477,Rome Solar Llc,3,0,PA,RyanW,40,,,,,,,
2717,Homeland Solar,1,960,MI,Guy,40,,,,,,160,
1898,Palmetto Clean Technology,1,6552,CA,Genki,40,,,,,,100,
3501,4990416 Solcium Solar Llc,6,0,FL,RyanW,40,,,,,,,
3553,82047 Jordan Solar,6,0,ID,Genki,40,,,,,,,
2492,Newport Electric,4,0,RI,RyanW,40,,,,,,,
3533,Insight Ventures Llc*,4,0,MA,RyanW,40,,,,,,100,
853,Lgcy Power,1,4950,NC,RyanW,40,,,,,,,
2140,Skyline Solar - Nj/Ma/Ct,2,0,NJ,RyanW,40,,,,,,,
2462,"The Boston Solar Co., Inc.*",4,0,MA,RyanW,40,,,,,,,
3092,Solar Kingdom Inc,1,5621,FL,RyanW,40,,,,,,,
3571,Fast Campos Inc,3,0,NJ,RyanW,40,,,,,,,
3544,Charged Up Ev's,1,7605,CA,Genki,38,,,,,,,
386,Big Dog Solar,1,2685,CO,Genki,37,,,,,,1518,
3135,Kruetzfeldt Construction,1,7953,CA,Genki,36,,,,,18,64,
543,Solar States Llc,1,5887,PA,RyanW,35,,,,,7,35,
3455,Ag Electric Of New England Llc,1,224,MA,RyanW,34,,5,,,,,
2957,Valectric Llc,1,1987,TX,Genki,34,,,,,,100,
3374,Cod Gazda Solar Llc,1,8018,FL,RyanW,33,,,,,,,
83,Cod Sales,1,3395,FL,RyanW,33,,,,,,,
2397,Integratesun,1,5944,TX,Genki,33,,,,,,,
3584,Blitz Electrical & Solar,1,2576,CA,Genki,32,,,,,,,
303,Peak Solar Designs,1,6026,CO,Genki,31,,,,,,1920,
3043,Sunwise Energy Llc,1,5887,NJ,RyanW,30,,120,,,,,
161,Cod Sales,1,5944,PA,RyanW,30,,40,,,,,
2688,Yellowlite,1,6462,OH,Guy,30,,,,,,,
3190,Enlighten Energy Ltd,1,4560,FL,RyanW,30,,,,,,100,
3242,Paradigm Roofing,1,3273,TX,Genki,30,,,,,160,640,
261,"Solar Works, Llc",1,1875,CO,Genki,30,,,,,,400,
3371,Cv Solar-Juan Ruiz Cod,1,7133,CA,Genki,30,,,,,,,
365,Green Star Power Llc,1,236,TX,Genki,30,,,,,,120,
498,Home Team Energy Inc,1,4950,WI,Guy,30,,,,,,,
747,Nuwatt Energy,1,224,MA,RyanW,30,,,,,,,
2809,Skyline Solar Llc,1,5887,NJ,RyanW,28,,,,,,,
562,Cod Sales,1,8064,WA,Genki,28,,,,,38,114,
3566,Rome Solar,1,5887,NJ,RyanW,26,,,,,,300,
483,Expert Inc,1,8018,FL,RyanW,25,,,,,,,
3524,North Peak Solar,1,4664,MN,Guy,25,,,,,,,
1736,Am Shine Electric,1,1024,CA,Genki,24,,,,,,96,
2841,Ambia Energy Llc,1,5944,PA,RyanW,22,,40,,,100,70,
3525,National Renewable Energy Part,1,5944,PA,RyanW,22,,2,,,,,
3174,One Sun Solar,1,1024,CA,Genki,22,,,,,,132,
3543,Crown City Solar,1,1024,CA,Genki,22,,,,,,100,
115,Kw Solar Solutions,1,5887,MD,RyanW,21,2178,,,,,203,
3392,Sea Bright Solar - Cod,1,5887,NJ,RyanW,21,,,,,,,
3349,Positive Energy Solutions,3,0,NJ,RyanW,20,100,,,,,,
3282,Team Sunshine Construction Llc,1,224,MA,RyanW,20,,180,,,,7560,
154,Florida Power Services,1,8618,FL,RyanW,20,,,,,,,
3131,"Ninety Eight Acre Energy, Llc",1,1154,OH,Guy,20,,,,,,,
1574,Savkat,1,4984,CT,RyanW,20,,,,,,401,
3143,Darius Roderick Llc,1,224,RI,RyanW,20,,,,,,,
2736,C&C Contracting Solutions,1,5621,FL,RyanW,20,,,,,,,
3166,Santa Maria - Ces,1,7605,CA,Genki,20,,,,,,,
2192,Fibonacci Energy,1,4950,IL,Guy,20,,,,,,,
758,"Sun Services Usa, Llc",1,8756,AZ,Genki,20,,,,,,,
2764,Patriot Power,1,236,TX,Genki,20,,,,,,,
2872,Jason Jaggard,3,0,NJ,RyanW,20,,,,,,,
3176,Nexa Solar,1,1024,CA,Genki,20,,,,,,,
2732,Cod Sales,1,6692,UT,Genki,20,,,,,,,
318,Source Solar,1,987,IA,Guy,20,,,,,,,
3264,Cod-Detach And Reset Solar,1,8018,CO,Genki,20,,,,,,100,
2443,Cod Solarface,1,8018,FL,RyanW,20,,,,,,100,
3315,Go Green Builders,1,1024,CA,Genki,20,,,,,,,
