Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Neal Electric,NH,371,4991,1,RyanW,622.5,,,2324,1992,996,332,,180.4,,405.9,,,,,,6852.8
Empwr Solar,VA,370,6408,1,RyanW,664,,,,,,498,,,,,,,,,,1162
Accord Power,NY,369,5887,1,RyanW,41.5,,,24.9,415,33.2,49.8,95.45,,85.69,58.63,27.06,85.69,63.14,130.79,13.53,1124.38
Everguard Solar,NM,377,148,1,Genki,83,,41.5,,,,,,,,,,,,,,124.5
Energy One,MO,376,3584,1,Guy,249,539.5,539.5,,,,,,,,,,,,,,1328
Cod-Vision Solar,AZ,375,8756,1,Genki,4247.2,3320,,2448.5,,415,,,,,,,,,,,10430.7
*Cod - Project Solar,FL,374,8018,1,RyanW,415,,,,,49.8,,,,,,,,,,,464.8
Yes! Solar Solutions,NC,385,6058,1,RyanW,373.5,747,,,,249,107.9,664,451,,,180.4,,,,,2772.8
Sunpro,TX,384,3273,1,Genki,166,,,,,,,,,,,,,,,,166
Oej Electric Llc,AZ,383,8756,1,Genki,265.6,1348.75,7009.35,3776.5,207.5,,,,,,,,,,,,12607.7
Mountain Power Solutions,CO,382,2685,1,Genki,24.9,58.1,41.5,74.7,24.9,58.1,,70.55,18.04,16.6,31.57,36.08,18.04,54.12,85.69,126.28,739.17
Momentum Solar,AZ,381,8756,1,Genki,332,,,,,,,,,,,,,,,,332
Mirasol Fafco Solar Inc.,FL,380,8018,1,RyanW,415,915.2,3569,2075,4133.4,2490,2739,332,2988,3157,721.6,,,,,,23535.2
Independent Green Technologies,FL,379,8018,1,RyanW,1494,,,,,,,,,,,,,,,,1494
City - San Leandro,CA,378,8064,1,Genki,830,415,,,,,,,,,,,,,,,1245
Sunpower Corp.,CA,393,5040,1,Genki,830,498,,,1660,,,,,,,,,,,,2988
Solar Sme,NC,392,236,1,RyanW,1232.55,1195.2,,2348.9,1091.45,294.65,,,,,,,,,,,6162.75
Second Generation Energy,MA,2481,0,4,RyanW,,,,332,,166,,,,,83,415,,,,,996
Reanimate Contractors,NJ,391,5887,1,RyanW,4.15,,,45.65,,,4.15,,,,,,,,,,53.95
Pm&M Electric Dba Titan Solar,NM,390,148,1,Genki,1328,1909,1328,,,,,,,,,,,,,,4565
"Palmetto Clean Technology, Inc",OH,389,1154,1,Guy,,83,45.65,,,,,,,,,,,,,,128.65
Equisolar Inc,TX,388,239,1,Genki,116.2,,,,,,,,,,,,,,,,116.2
Design 1 Group,TN,387,6058,1,Guy,249,166,996,539.5,456.5,,2543.95,6889,,,,,,,,,11839.95
Big Dog Solar,CO,386,2685,1,Genki,16.6,37.35,16.6,87.15,83,103.75,107.9,49.8,31.57,16.6,18.04,45.1,67.65,55.75,40.59,,777.45
Royal Wholesale Electric - Spr,UT,396,6692,1,Genki,121.5,,,,,,,,,,,,,,,,121.5
