Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
Pm&M Electric Dba : Titan Solar,NV,91,4090,1,Rob,,,,,,,,,
Solar Sme,TX,92,236,1,Ken,,,,,,,,,
Solar Specialists Inc,FL,93,8018,1,Justin,,,,,,,,,
Solarlogix,ME,94,4422,1,Chris,,,,,,,,,
Solarmax,FL,95,8618,1,Justin,,,,,,,,,
Sunflower Solar,TX,96,1987,1,Ken,,,,,,,,,
Sunpro,IL,97,4950,1,Guy,,,,,,,,,
Tempo Electric,NV,98,4090,1,Rob,,,,,,,,,
Vision Solar,FL,99,5621,1,Justin,,,,,,,,,
Cod Sales,NY,100,6462,1,Chris,,,,,,,,,
Lumio Hx Inc.,FL,101,5621,1,Justin,,,,,,,,,
Meraki Solutions,FL,102,5621,1,Justin,,,,,,,,,
Reconnect Clean Energy Llc,CO,103,2685,1,Ken,,,141.6,,,,,,
Seal Solar,AR,104,4187,1,Ken,,,,,,,,,
Solar Sme,MD,105,236,1,Chris,,,,,,,,,
Solcius,TX,106,1987,1,Ken,,,,,,,,,
"Solcius, Llc",CA,107,6435,1,Rob,,,,,,,,,
Solera/ Gardner Solar,MO,108,3584,1,Guy,,,,,,,,,
Sun Talk Solar,CO,109,1875,1,Ken,,,,,,,,,
Az Sun-Ensemble-Dividend,AZ,110,8756,1,Ken,,,,,,,,,
Cod Sales,NJ,111,5887,1,Chris,,,,,,,,,
Devlin Contracting & Maintenance,MA,112,4431,1,Chris,,,,,,,,,
"Greenready, Llc",FL,113,8018,1,Justin,,,,,,,,,
Hudson River Solar,NY,114,120,1,Chris,,,,,,,,,
Kw Solar Solutions,MD,115,5887,1,Chris,5.9,17.7,,,,590,,,
New Jersey Sun Tech,NY,116,5887,1,Chris,,,,,,,,,
O3 Home Solar,TX,117,237,1,Ken,,,,,,,,,
Pine Tree Solar,ME,118,4422,1,Chris,,,,,,,,,
Solcius Llc,CO,119,1875,1,Ken,,,,,,,,,
Sunpower,NY,120,4984,1,Chris,,,,,,,,,
Sunrgy/Cod,TX,121,239,1,Ken,,,,,,,,,
Vanguard Solar Services,CO,122,1875,1,Ken,,,,,,,,,
Boston Solar,MA,123,224,1,Chris,,,,,,,,,
Bruem Energy Llc,MD,124,9106,1,Chris,,,,,,,,,
Cleantap Energy,ME,125,4422,1,Chris,,,,,,,,,
Cod Account,CO,126,1875,1,Ken,,,,,,,,,
Freedom Solar Energy,FL,127,8018,1,Justin,,,,,,,,,
Luz Energy Corporation,NM,128,148,1,Ken,,,,,,,,,
Southern Solar,TX,129,3273,1,Ken,,,,,,,,,
Stay Cool Air Cond & Heating Llc,FL,130,8018,1,Justin,,,,,,,,,
Streamline Energy Llc,TX,131,236,1,Ken,,,,,,,,,
"Strongbuilt, Llc",NM,132,148,1,Ken,,,,,,,,,
Sunlight Enterprises Inc,FL,133,5621,1,Justin,,,,,,,,94.4,
The Solar Guys,MO,134,3584,1,Guy,,,,,,,,,
V3 Electric Inc.,CA,135,6435,1,Rob,,,,,,,,,
1 Solar,CO,136,1875,1,Ken,,,,,,,,,
Big Dog Solar,ID,137,756,1,Rob,,,,,,,,,
California Solar Elec Co,CA,138,6552,1,Rob,,,,,,,,,
Cod-Day Star Solar Roofing & Const.,TX,139,1987,1,Ken,,,,,,,,,
Cod-Getsolarize,TX,140,1987,1,Ken,,,,,,,,,
Cross Atlantic Solar,FL,141,4560,1,Justin,,,,,,,,,
Enlightened Solar,FL,142,8618,1,Justin,,,,,,,,,
Geoscape Solar Llc,NJ,143,5887,1,Chris,,,,,,,,,
J & D Solar Consultants Group Inc,FL,144,8018,1,Justin,,,,,,,,,
