P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
RT3-01-UE-30-01,,APEX,12,$9.24,RT-APEX End Clamp Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp universal height pv frame h30 40mm 12 ea box
RT3-01-UE-BK,1,APEX,12,$9.24,RT-APEX End Clamp Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX End Clamp Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex end clamp universal height pv frame h32 40mm 12 ea box
RT3-01-UE-BK-01,,APEX,12,$9.24,RT-APEX End Clamp Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX End Clamp Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex end clamp universal height pv frame h32 40mm 12 ea box
RT3-01-UEFS30,1,APEX,16,$9.24,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea./BOX,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea/box,rt apex end floating splice universal height pv frame h30 40mm 16 ea box
RT3-01-UEFS30-01,,APEX,16,$9.24,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea./BOX,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea/box,rt apex end floating splice universal height pv frame h30 40mm 16 ea box
RT3-01-UEFSBK,1,APEX,16,$9.24,RT-APEX End Clamp Floating Splice Universal Height (PV Frame H32-40mm) 16 ea./BOX,RT-APEX End Clamp Floating Splice Universal Height (PV Frame H32-40mm) 16 ea/box,rt apex end clamp floating splice universal height pv frame h32 40mm 16 ea box
RT3-01-UEFSBK-01,,APEX,16,$9.24,RT-APEX End Clamp Floating Splice Universal Height (PV Frame H32-40mm) 16 ea./BOX,RT-APEX End Clamp Floating Splice Universal Height (PV Frame H32-40mm) 16 ea/box,rt apex end clamp floating splice universal height pv frame h32 40mm 16 ea box
RT3-01-UES-30,1,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h30 40mm 12 ea box
RT3-01-UES30,1,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h30 40mm 12 ea box
RT3-01-UES30-01,,APEX,12,$5.31,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h30 40mm 12 ea box
RT3-01-UESBK,1,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H32-46mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H32-46mm) 12 ea/box,rt apex end clamp splice universal height pv frame h32 46mm 12 ea box
RT3-01-UESBK-01,,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h32 40mm 12 ea box
RT3-01-UESBK-20,,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h32 40mm 12 ea box
RT3-01-UM-BK,1,APEX,12,$9.24,"","",""
RT3-01-UMFSBK,1,APEX,12,$9.24,"","",""
RT3-01-UMSBK,1,APEX,12,$15.31,"","",""
RT3-02-UM-30,1,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h30 40mm 12 ea box
RT3-02-UM-30-01,,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h30 40mm 12 ea box
